track_id,name,duration_ms,artist_id,artist_name,num_artists,album_id,album_name
17Af5eAqoLqnDBdTe98kP7,So Hard to Let Go,279080,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
0Vb4bx3WLXa047jchCForj,Forever,277426,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
2WTu0omgDUeO5pBismnvlb,Dude,270666,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
0nzRT8xrPJNSwxsi3tYVMq,Walang Hanggan,274986,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
7e3sUBFnAqGER5GTn0LrJx,Tuloy Tuloy Pa Rin,265720,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
2Tb7CIZYfFjA1KbxKUUTuF,One Look,381400,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
42pN2SjDx0iCDLvI115u8e,Ha?,289173,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
3nI4ej3PIobYrjeTvufKDE,Nandito Lang (Hanggang Kailan),241560,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
68qOOLUg9yKjwI6LlBMXbV,Kundiman,220360,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
2J0Ovh75YIhRGHHTLapTJJ,You Left Me,243480,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
6XazyhArhUJqpYxhuhQJvN,Mahal na mahal,215520,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,1maIgsJ7htTqCDrhe8aucE,Now Hear This
