track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name
1wPUfVXrpVjPa8b91KwLAC,Nandito Ako - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,269586,2012-01-01,4,0.684,0.0948,1,-19.83,0,0.0759,0.899,0.789,0.107,0.218,139.892,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
5Keg4HiBjG3LZBtwkxUOed,Sa Isip Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,215213,2012-01-01,1,0.615,0.341,0,-11.684,1,0.0339,0.282,0.854,0.179,0.45,171.937,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
0fKIYcJD3mYvgAIYZrVn8h,Kamakailan Lang - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,316426,2012-01-01,1,0.627,0.552,9,-8.376,1,0.0337,0.724,0.941,0.0536,0.616,145.977,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
7dOUDPsOUgd7992K5o6PWj,Sana Dalawa Ang Puso Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,287786,2012-01-01,6,0.666,0.411,9,-10.478,1,0.0277,0.459,0.249,0.517,0.158,130.083,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
5otfMfCkxtpG9JKeuINH5h,Miss Kita - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,298786,2012-01-01,1,0.721,0.574,1,-7.488,1,0.0415,0.696,0.8,0.348,0.502,85.006,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
3TaIjVcPAcByVBZlqLevCJ,Basta't Kasama Kita - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,256653,2012-01-01,9,0.564,0.15,3,-10.257,1,0.044,0.978,0.651,0.151,0.147,67.116,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
2x7DmZVp2jmh4GaHtWX4VL,Bukas Na Lang Kita Mamahalin - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,254813,2012-01-01,13,0.674,0.121,9,-15.012,1,0.0549,0.908,0.9,0.0995,0.114,75.033,4oif6qMFEOF3E6uf0bvDOV,Tuloy Pa Rin (Minus One Versions)
079YDRVV6NaioJUkWD1YWG,Try,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,224240,2010-01-01,2,0.483,0.584,8,-5.096,0,0.0329,0.626,2.44e-05,0.111,0.308,139.733,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
3l2Wyag6NGCud0v9U9knzI,Time Machine,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,265293,2010-01-01,11,0.493,0.437,9,-8.933,0,0.0396,0.809,0.000132,0.366,0.33,76.813,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
5J06HsKAN81PNBWZwZgUQY,Someday,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,236960,2010-01-01,21,0.447,0.12,8,-16.17,1,0.0428,0.909,0.00756,0.109,0.267,134.237,4aW4RCeWwmde6JSVjDUgaD,In You (International Version)
