Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,291636,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-19
2,Versace on the Floor,Bruno Mars,261920,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-02-19
3,Say You Won't Let Go,James Arthur,220903,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-02-19
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,199164,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-02-19
5,That's What I Like,Bruno Mars,196937,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-02-19
6,Paris,The Chainsmokers,161621,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-02-19
7,Starving,Hailee Steinfeld,131914,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-02-19
8,"How Far I'll Go - From ""Moana""",Alessia Cara,130799,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-02-19
9,Closer,The Chainsmokers,130664,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-02-19
10,24K Magic,Bruno Mars,128591,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-02-19
11,Don't Wanna Know,Maroon 5,124550,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-02-19
12,Bad Things (with Camila Cabello),Machine Gun Kelly,117179,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-02-19
13,Perfect Strangers,Jonas Blue,107078,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-02-19
14,Scared to Be Lonely,Martin Garrix,106276,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-02-19
15,All We Know,The Chainsmokers,105076,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-02-19
16,All Night,The Vamps,102482,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-02-19
17,Call On Me - Ryan Riback Extended Remix,Starley,101768,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-02-19
18,Fresh Eyes,Andy Grammer,101331,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-02-19
19,Sila,SUD,95151,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-02-19
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,91948,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-02-19
21,Just Hold On,Steve Aoki,90166,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-02-19
22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,88243,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-02-19
23,Issues,Julia Michaels,87060,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-02-19
24,Weak,AJR,85740,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-02-19
25,Let Me Love You,DJ Snake,84706,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-02-19
26,Starboy,The Weeknd,84571,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-02-19
27,Side To Side,Ariana Grande,82559,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-02-19
28,Treat You Better,Shawn Mendes,81758,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-02-19
29,Lot to Learn,Luke Christopher,81008,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-02-19
