Position,Track Name,Artist,Streams,URL,Date
1,Dynamite,BTS,245236,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-11-29
2,Life Goes On,BTS,240007,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2020-11-29
3,At My Worst,Pink Sweat$,239860,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,2020-11-29
4,Paubaya,Moira Dela Torre,174296,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP,2020-11-29
5,positions,Ariana Grande,169367,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-29
6,34+35,Ariana Grande,155784,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-29
7,Beautiful Scars,Maximillian,151664,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE,2020-11-29
8,Holy (feat. Chance The Rapper),Justin Bieber,147014,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-11-29
9,Ice Cream (with Selena Gomez),BLACKPINK,138403,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-11-29
10,I CAN'T STOP ME,TWICE,137366,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,2020-11-29
11,Lovesick Girls,BLACKPINK,129022,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-11-29
12,You Got It,Vedo,120420,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-11-29
13,What You Know Bout Love,Pop Smoke,119953,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-29
14,Kabilang Buhay,Bandang Lapis,118659,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-11-29
15,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,114833,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,2020-11-29
16,Fly To My Room,BTS,104630,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS,2020-11-29
17,Blue & Grey,BTS,103900,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,2020-11-29
18,KLWKN,Music Hero,101610,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-11-29
19,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,98262,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,2020-11-29
20,Stuck with U (with Justin Bieber),Ariana Grande,96972,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-11-29
21,Titig,MC Einstein,95562,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci,2020-11-29
22,Teka Lang,Emman,92262,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-11-29
23,Heather,Conan Gray,90806,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-11-29
24,Mariposa,Peach Tree Rascals,89934,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-11-29
