Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,363832,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-04
2,That's What I Like,Bruno Mars,279813,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-03-04
3,Versace on the Floor,Bruno Mars,241501,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-03-04
4,Something Just Like This,The Chainsmokers,233502,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-03-04
5,Say You Won't Let Go,James Arthur,215069,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-03-04
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,189119,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-03-04
7,Paris,The Chainsmokers,162675,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-03-04
8,It Ain't Me (with Selena Gomez),Kygo,146435,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-03-04
9,"How Far I'll Go - From ""Moana""",Alessia Cara,143987,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-03-04
10,Castle on the Hill,Ed Sheeran,137353,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-03-04
11,Closer,The Chainsmokers,129008,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-03-04
12,24K Magic,Bruno Mars,123297,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-03-04
13,Starving,Hailee Steinfeld,122832,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-03-04
14,Don't Wanna Know,Maroon 5,117516,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-03-04
15,Bad Things (with Camila Cabello),Machine Gun Kelly,115011,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-03-04
16,Scared to Be Lonely,Martin Garrix,112599,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-03-04
17,Stay (with Alessia Cara),Zedd,108874,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-03-04
18,All Night,The Vamps,107640,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-03-04
19,All We Know,The Chainsmokers,105184,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-03-04
20,Perfect,Ed Sheeran,104418,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-03-04
21,Perfect Strangers,Jonas Blue,104411,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-03-04
