Position,Track Name,Artist,Streams,URL,Date
1,Despacito - Remix,Luis Fonsi,260545,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-07-20
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,173141,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-07-20
3,Strip That Down,Liam Payne,150452,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-07-20
4,Mama,Jonas Blue,148618,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-07-20
5,Attention,Charlie Puth,131980,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-07-20
6,Shape of You,Ed Sheeran,124075,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-07-20
7,,,121541,https://open.spotify.com/track/3RXkboS74UYzN14xTqzPyY,2017-07-20
8,Dahil Sa'Yo,Inigo Pascual,119106,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-07-20
9,There for You,Martin Garrix,117275,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-07-20
10,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,115608,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-07-20
11,Something Just Like This,The Chainsmokers,111896,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-07-20
12,Symphony (feat. Zara Larsson),Clean Bandit,111197,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-07-20
13,I Like Me Better,Lauv,109122,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-07-20
14,Say You Won't Let Go,James Arthur,103485,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-07-20
15,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,102645,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-07-20
16,There's Nothing Holdin' Me Back,Shawn Mendes,99969,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-07-20
17,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,98152,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-07-20
18,Thunder,Imagine Dragons,98132,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-07-20
19,No Promises (feat. Demi Lovato),Cheat Codes,96851,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-07-20
20,That's What I Like,Bruno Mars,96580,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-07-20
21,Most Girls,Hailee Steinfeld,90219,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-07-20
22,Super Far,LANY,89460,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2017-07-20
23,Your Song,Rita Ora,86172,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-07-20
24,,,85374,https://open.spotify.com/track/3eFJqPe8VUYrABbFjSauuj,2017-07-20
