Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,204850,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-05
2,Something Just Like This,The Chainsmokers,184912,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-05-05
3,That's What I Like,Bruno Mars,178642,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-05-05
4,I'm the One,DJ Khaled,168681,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,2017-05-05
5,Say You Won't Let Go,James Arthur,150672,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-05-05
6,Stay (with Alessia Cara),Zedd,138852,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-05-05
7,Versace on the Floor,Bruno Mars,137287,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-05-05
8,Symphony (feat. Zara Larsson),Clean Bandit,135941,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-05-05
9,Good Life (with G-Eazy & Kehlani),G-Eazy,118667,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-05-05
10,It Ain't Me (with Selena Gomez),Kygo,110970,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-05-05
11,Attention,Charlie Puth,110758,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-05-05
12,Touch,Little Mix,107704,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-05-05
13,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,102832,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-05-05
14,There's Nothing Holdin' Me Back,Shawn Mendes,102165,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-05-05
15,Paris,The Chainsmokers,100309,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-05-05
16,Scared to Be Lonely,Martin Garrix,99354,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh,2017-05-05
17,Despacito - Remix,Luis Fonsi,92783,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-05-05
18,Starving,Hailee Steinfeld,90277,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-05-05
19,Call On Me - Ryan Riback Extended Remix,Starley,90146,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-05-05
