Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,284432,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-26
2,That's What I Like,Bruno Mars,241255,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-03-26
3,Versace on the Floor,Bruno Mars,196053,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-03-26
4,Something Just Like This,The Chainsmokers,192799,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-03-26
5,Say You Won't Let Go,James Arthur,180859,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-03-26
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,150451,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-03-26
7,"How Far I'll Go - From ""Moana""",Alessia Cara,142095,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-03-26
8,美女と野獣,Ariana Grande,140407,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-03-26
9,Paris,The Chainsmokers,131646,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-03-26
10,It Ain't Me (with Selena Gomez),Kygo,131474,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-03-26
11,Stay (with Alessia Cara),Zedd,130313,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-03-26
12,Starving,Hailee Steinfeld,114214,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-03-26
13,Closer,The Chainsmokers,112212,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-03-26
14,Castle on the Hill,Ed Sheeran,104533,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-03-26
15,Scared to Be Lonely,Martin Garrix,102467,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-03-26
16,Perfect Strangers,Jonas Blue,96067,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-03-26
17,Don't Wanna Know,Maroon 5,93886,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-03-26
18,Galway Girl,Ed Sheeran,92483,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-03-26
19,Call On Me - Ryan Riback Extended Remix,Starley,92477,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-03-26
20,Cold,Maroon 5,92275,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-03-26
21,All Night,The Vamps,91892,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-03-26
22,Fresh Eyes,Andy Grammer,90774,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-03-26
