Position,Track Name,Artist,Streams,URL,Date
1,34+35,Ariana Grande,234950,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-12-18
2,At My Worst,Pink Sweat$,213540,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB,2020-12-18
3,Dynamite,BTS,204504,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-12-18
4,positions,Ariana Grande,159966,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-18
5,Life Goes On,BTS,154932,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2020-12-18
6,All I Want for Christmas Is You,Mariah Carey,151505,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-18
7,Paubaya,Moira Dela Torre,148979,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP,2020-12-18
8,willow,Taylor Swift,138406,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,2020-12-18
9,CRY FOR ME,TWICE,128525,https://open.spotify.com/track/2xtP8RNbo2BEMzLX7tK7aq,2020-12-18
10,I CAN'T STOP ME,TWICE,127861,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,2020-12-18
11,Dance With You,Skusta Clee,127339,https://open.spotify.com/track/7bUvgvAf0tdQIty95lV5wf,2020-12-18
12,Beautiful Scars,Maximillian,124668,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE,2020-12-18
13,Kabilang Buhay,Bandang Lapis,124014,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-12-18
14,Ice Cream (with Selena Gomez),BLACKPINK,121589,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-12-18
15,Lovesick Girls,BLACKPINK,117499,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-12-18
16,Holy (feat. Chance The Rapper),Justin Bieber,116854,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-12-18
17,You Got It,Vedo,114757,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-12-18
18,What You Know Bout Love,Pop Smoke,114381,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-12-18
19,KLWKN,Music Hero,107520,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-12-18
20,Stuck with U (with Justin Bieber),Ariana Grande,102546,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-12-18
21,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,102258,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1,2020-12-18
22,Teka Lang,Emman,99231,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-12-18
23,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,96196,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,2020-12-18
24,Titig,MC Einstein,95994,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci,2020-12-18
25,Santa Tell Me,Ariana Grande,93077,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-12-18
26,Put Your Records On,Ritt Momney,92157,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,2020-12-18
27,Imahe,Magnus Haven,90266,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-12-18
28,Kathang Isip,Ben&Ben,89507,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2020-12-18
29,Ulap,Rob Deniel,87405,https://open.spotify.com/track/0en1kxNAvVQxLpbteRTG7L,2020-12-18
30,Malayo Ka Man,Jr Crown,86579,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo,2020-12-18
31,Heather,Conan Gray,85692,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-12-18
32,Make It With You,Ben&Ben,85423,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-12-18
33,"no body, no crime (feat. HAIM)",Taylor Swift,85280,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo,2020-12-18
34,Maybe The Night,Ben&Ben,82154,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2020-12-18
35,Mariposa,Peach Tree Rascals,80695,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-12-18
36,Sa Susunod na Habang Buhay,Ben&Ben,79922,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd,2020-12-18
37,How You Like That,BLACKPINK,78401,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-12-18
38,Di Ka Sayang,Ben&Ben,77406,https://open.spotify.com/track/0V9rj37SqxF06EOV809odq,2020-12-18
39,Higa,Arthur Nery,75305,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC,2020-12-18
40,Nakikinig Ka Ba Sa Akin,Ben&Ben,75285,https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM,2020-12-18
41,Hindi Tayo Pwede,The Juans,73911,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2020-12-18
42,WAP (feat. Megan Thee Stallion),Cardi B,73741,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-12-18
43,Levitating (feat. DaBaby),Dua Lipa,72885,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-12-18
44,if this is the last time,LANY,72042,https://open.spotify.com/track/3bsRMvQja4huvPWo1S5ONc,2020-12-18
45,Someone You Loved,Lewis Capaldi,71580,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-12-18
46,Pagtingin,Ben&Ben,71200,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2020-12-18
47,champagne problems,Taylor Swift,71040,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,2020-12-18
48,Last Christmas,Wham!,70044,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-18
49,Go Crazy,Chris Brown,69954,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020-12-18
50,Lonely (with benny blanco),Justin Bieber,69395,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-12-18
51,Sulyap,Jr Crown,68816,https://open.spotify.com/track/3a22L5P9cix1HFNzjb3SpB,2020-12-18
52,Leaves,Ben&Ben,67067,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2020-12-18
53,"10,000 Hours (with Justin Bieber)",Dan + Shay,65060,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-12-18
54,Wag Na Lang,MC Einstein,65010,https://open.spotify.com/track/4Qs3DkTFVG1QiOwd0BUa9o,2020-12-18
55,Sana,I Belong to the Zoo,62497,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2020-12-18
56,Therefore I Am,Billie Eilish,61186,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-12-18
57,Memories,Maroon 5,60536,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-12-18
58,Fake,Lauv,60300,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW,2020-12-18
59,Pretty Savage,BLACKPINK,59802,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,2020-12-18
60,Chinita Girl,Lil Vinceyy,59020,https://open.spotify.com/track/6r7sdXUiKjgEx3I8GQRpSq,2020-12-18
61,pov,Ariana Grande,58784,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,2020-12-18
62,heart won't let me,LANY,58048,https://open.spotify.com/track/2IY537C2ecmUMJ46bYQggp,2020-12-18
63,Intentions (feat. Quavo),Justin Bieber,57962,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-12-18
64,Pangga,Matthaios,57442,https://open.spotify.com/track/2YreeV0asmC6tgM4IH2g5F,2020-12-18
65,gold rush,Taylor Swift,56990,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,2020-12-18
66,Your Song,Parokya Ni Edgar,56923,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2020-12-18
67,‘tis the damn season,Taylor Swift,56720,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA,2020-12-18
68,Mad at Disney,salem ilese,55788,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,2020-12-18
69,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,55064,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,2020-12-18
70,Araw-Araw,Ben&Ben,54864,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm,2020-12-18
71,Rockin' Around The Christmas Tree,Brenda Lee,54572,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2020-12-18
72,Mistletoe,Justin Bieber,53794,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2020-12-18
73,Jingle Bell Rock,Bobby Helms,53017,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2020-12-18
74,Kung 'Di Rin Lang Ikaw,December Avenue,52905,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2020-12-18
75,It's Beginning to Look a Lot like Christmas,Michael Bublé,52528,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2020-12-18
76,Underneath the Tree,Kelly Clarkson,52117,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2020-12-18
77,comethru,Jeremy Zucker,51492,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2020-12-18
78,Before You Go,Lewis Capaldi,51403,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-12-18
79,Say You Won't Let Go,James Arthur,51389,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-12-18
80,It's the Most Wonderful Time of the Year,Andy Williams,50648,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,2020-12-18
81,Malibu Nights,LANY,50459,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2020-12-18
82,Mood (feat. iann dior),24kGoldn,50115,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-18
83,Snowman,Sia,48873,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,2020-12-18
84,I Like Me Better,Lauv,48537,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-12-18
85,Blue & Grey,BTS,48398,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,2020-12-18
86,Lifetime,Ben&Ben,48143,https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW,2020-12-18
87,Psycho,Red Velvet,47916,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-12-18
88,tolerate it,Taylor Swift,47668,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,2020-12-18
89,Fly To My Room,BTS,47497,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS,2020-12-18
90,Boy With Luv (feat. Halsey),BTS,46869,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2020-12-18
91,Nandito Lang Ako,Skusta Clee,45880,https://open.spotify.com/track/5xd70ihEAM1UA1DnM8af2v,2020-12-18
92,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,45826,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-12-18
93,Bet You Wanna (feat. Cardi B),BLACKPINK,45731,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,2020-12-18
94,Don't Start Now,Dua Lipa,45571,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-12-18
95,Miloves (Otw Sayo),King Badger,45404,https://open.spotify.com/track/44jJiCwGdnqqCkgqlvCIdp,2020-12-18
96,Circles,Post Malone,45168,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-12-18
97,Rainbow,South Border,44837,https://open.spotify.com/track/3ueq4reab02CypseErxvwS,2020-12-18
98,happiness,Taylor Swift,44688,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,2020-12-18
99,Best Part (feat. Daniel Caesar),H.E.R.,44687,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2020-12-18
100,Miracle Nights,ALLMO$T,44163,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB,2020-12-18
101,you!,LANY,43825,https://open.spotify.com/track/1vg0ZHaTvBwlNxLxyYrEvP,2020-12-18
102,2002,Anne-Marie,43756,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2020-12-18
103,Kung Wala Ka,Hale,43418,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn,2020-12-18
104,Kahit Kunwari Man Lang,Agsunta,42521,https://open.spotify.com/track/6C2JPPYodebs3deDBizyww,2020-12-18
105,Marikit,Juan Caoile,42514,https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar,2020-12-18
