Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,226923,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-21
2,Something Just Like This,The Chainsmokers,201616,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-04-21
3,That's What I Like,Bruno Mars,196186,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-04-21
4,Say You Won't Let Go,James Arthur,149809,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-04-21
5,Versace on the Floor,Bruno Mars,147276,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-04-21
6,Stay (with Alessia Cara),Zedd,142426,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-04-21
7,Symphony (feat. Zara Larsson),Clean Bandit,129974,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-04-21
8,Touch,Little Mix,119065,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-04-21
9,Paris,The Chainsmokers,115257,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-04-21
10,It Ain't Me (with Selena Gomez),Kygo,113383,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-04-21
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,110932,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-04-21
12,The One,The Chainsmokers,103672,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5,2017-04-21
13,Starving,Hailee Steinfeld,102737,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-04-21
14,Scared to Be Lonely,Martin Garrix,102207,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-04-21
15,Good Life (with G-Eazy & Kehlani),G-Eazy,101024,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-04-21
16,"How Far I'll Go - From ""Moana""",Alessia Cara,99208,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-04-21
17,Closer,The Chainsmokers,95848,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-04-21
18,美女と野獣,Ariana Grande,95158,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-04-21
19,Call On Me - Ryan Riback Extended Remix,Starley,89677,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-04-21
20,Cold,Maroon 5,85932,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-04-21
21,Issues,Julia Michaels,85747,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-04-21
22,Fresh Eyes,Andy Grammer,82382,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-04-21
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,81805,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-04-21
24,Sila,SUD,80684,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-04-21
25,Perfect Strangers,Jonas Blue,79356,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-04-21
26,HUMBLE.,Kendrick Lamar,79089,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-04-21
27,Don't Wanna Know,Maroon 5,78916,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-04-21
28,It's Gotta Be You,Isaiah Firebrace,77382,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-04-21
29,Now Or Never,Halsey,77145,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e,2017-04-21
30,All We Know,The Chainsmokers,76175,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-04-21
31,24K Magic,Bruno Mars,75044,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-04-21
32,Weak,AJR,74706,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-04-21
33,Slide (feat. Frank Ocean & Migos),Calvin Harris,73610,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-04-21
34,No Promises (feat. Demi Lovato),Cheat Codes,73530,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-04-21
35,Dahil Sa'Yo,Inigo Pascual,72028,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-04-21
36,All Night,The Vamps,69835,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-04-21
37,Hanggang Kailan,Michael Pangilinan,69306,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-04-21
38,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,68409,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-04-21
39,Why Can't It Be,Kaye Cal,67213,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2017-04-21
40,Location,Khalid,66966,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-04-21
41,By Your Side,Jonas Blue,66885,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-04-21
42,Passionfruit,Drake,64688,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,2017-04-21
43,Sign of the Times,Harry Styles,63600,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN,2017-04-21
44,Tadhana,Up Dharma Down,63241,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-04-21
45,Perfect,Ed Sheeran,62255,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-04-21
46,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,61765,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-04-21
47,Lot to Learn,Luke Christopher,61462,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-04-21
48,Just Hold On,Steve Aoki,60799,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-04-21
