Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,331279,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-16
2,That's What I Like,Bruno Mars,273160,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-03-16
3,Something Just Like This,The Chainsmokers,224646,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-03-16
4,Versace on the Floor,Bruno Mars,221020,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-03-16
5,Say You Won't Let Go,James Arthur,218005,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-03-16
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,181774,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-03-16
7,Paris,The Chainsmokers,157161,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-03-16
8,"How Far I'll Go - From ""Moana""",Alessia Cara,154978,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-03-16
9,It Ain't Me (with Selena Gomez),Kygo,149453,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-03-16
10,Stay (with Alessia Cara),Zedd,148935,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-03-16
11,Castle on the Hill,Ed Sheeran,131105,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-03-16
12,Starving,Hailee Steinfeld,128254,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-03-16
13,Closer,The Chainsmokers,127155,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-03-16
14,Scared to Be Lonely,Martin Garrix,122271,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-03-16
15,美女と野獣,Ariana Grande,117554,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-03-16
16,Galway Girl,Ed Sheeran,117005,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-03-16
17,Issues,Julia Michaels,113211,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-03-16
18,All Night,The Vamps,111984,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-03-16
19,Call On Me - Ryan Riback Extended Remix,Starley,110932,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-03-16
20,Cold,Maroon 5,109264,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-03-16
21,Don't Wanna Know,Maroon 5,105188,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-03-16
22,Perfect,Ed Sheeran,105111,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-03-16
23,Perfect Strangers,Jonas Blue,104526,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-03-16
24,Fresh Eyes,Andy Grammer,103958,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-03-16
25,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,102649,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-03-16
26,It's Gotta Be You,Isaiah Firebrace,101376,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-03-16
27,Sila,SUD,100300,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-03-16
28,All We Know,The Chainsmokers,100239,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-03-16
29,Touch,Little Mix,99119,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-03-16
30,24K Magic,Bruno Mars,96846,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-03-16
31,Bad Things (with Camila Cabello),Machine Gun Kelly,95057,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-03-16
32,Weak,AJR,91957,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-03-16
33,Dive,Ed Sheeran,91558,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,2017-03-16
34,Just Hold On,Steve Aoki,90202,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-03-16
35,Hanggang Kailan,Michael Pangilinan,87697,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-03-16
36,Happier,Ed Sheeran,86161,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2017-03-16
37,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,85640,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-03-16
38,Let Me Love You,DJ Snake,82622,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-03-16
39,By Your Side,Jonas Blue,79681,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-03-16
40,Lot to Learn,Luke Christopher,79596,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-03-16
41,Green Light,Lorde,78941,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5,2017-03-16
42,In the Name of Love,Martin Garrix,77621,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-03-16
43,Don't Leave,Snakehips,74397,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92,2017-03-16
44,Tadhana,Up Dharma Down,73240,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-03-16
45,Why Can't It Be,Kaye Cal,72371,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2017-03-16
46,Cold Water (feat. Justin Bieber & MØ),Major Lazer,70359,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-03-16
47,Jumpshot,Dawin,68488,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-03-16
