Position,Track Name,Artist,Streams,URL,Date
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,204761,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-05-28
2,I'm the One,DJ Khaled,179716,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,2017-05-28
3,Shape of You,Ed Sheeran,151036,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-28
4,That's What I Like,Bruno Mars,142104,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-05-28
5,Something Just Like This,The Chainsmokers,135249,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-05-28
6,Symphony (feat. Zara Larsson),Clean Bandit,121499,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-05-28
7,Attention,Charlie Puth,116493,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-05-28
8,Stay (with Alessia Cara),Zedd,115362,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-05-28
9,Say You Won't Let Go,James Arthur,105691,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-05-28
10,Versace on the Floor,Bruno Mars,101909,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-05-28
11,Good Life (with G-Eazy & Kehlani),G-Eazy,98773,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-05-28
12,Mama,Jonas Blue,97380,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6,2017-05-28
13,No Promises (feat. Demi Lovato),Cheat Codes,92684,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-05-28
14,There's Nothing Holdin' Me Back,Shawn Mendes,92307,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-05-28
15,Strip That Down,Liam Payne,90117,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-05-28
16,It Ain't Me (with Selena Gomez),Kygo,85854,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-05-28
17,Touch,Little Mix,84621,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-05-28
