Position,Track Name,Artist,Streams,URL,Date
1,Dynamite,BTS,274180,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-11-30
2,Life Goes On,BTS,268928,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2020-11-30
3,At My Worst,Pink Sweat$,255689,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,2020-11-30
4,positions,Ariana Grande,185953,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-30
5,Paubaya,Moira Dela Torre,185393,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP,2020-11-30
6,34+35,Ariana Grande,182078,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-30
7,Beautiful Scars,Maximillian,162520,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE,2020-11-30
8,Holy (feat. Chance The Rapper),Justin Bieber,160305,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-11-30
9,I CAN'T STOP ME,TWICE,155233,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,2020-11-30
10,Ice Cream (with Selena Gomez),BLACKPINK,147394,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-11-30
11,Lovesick Girls,BLACKPINK,139944,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-11-30
12,You Got It,Vedo,128748,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-11-30
13,Kabilang Buhay,Bandang Lapis,128056,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-11-30
14,What You Know Bout Love,Pop Smoke,127696,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-30
15,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,126751,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,2020-11-30
16,Fly To My Room,BTS,120491,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS,2020-11-30
17,Blue & Grey,BTS,118709,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,2020-11-30
18,KLWKN,Music Hero,111268,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-11-30
19,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,106795,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,2020-11-30
20,Stuck with U (with Justin Bieber),Ariana Grande,106536,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-11-30
21,Telepathy,BTS,104294,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne,2020-11-30
22,Titig,MC Einstein,102841,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci,2020-11-30
23,Teka Lang,Emman,98966,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-11-30
24,Heather,Conan Gray,98087,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-11-30
25,Stay,BTS,96928,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz,2020-11-30
26,Pretty Savage,BLACKPINK,96326,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,2020-11-30
27,Mariposa,Peach Tree Rascals,96245,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-11-30
28,if this is the last time,LANY,95611,https://open.spotify.com/track/3bsRMvQja4huvPWo1S5ONc,2020-11-30
29,Dis-ease,BTS,93739,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0,2020-11-30
30,Mad at Disney,salem ilese,93116,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,2020-11-30
31,Therefore I Am,Billie Eilish,89843,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-11-30
32,Imahe,Magnus Haven,89781,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-11-30
33,Put Your Records On,Ritt Momney,88779,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,2020-11-30
34,Malayo Ka Man,Jr Crown,86718,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo,2020-11-30
35,pov,Ariana Grande,84712,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,2020-11-30
36,WAP (feat. Megan Thee Stallion),Cardi B,83689,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-30
37,Before You Go,Lewis Capaldi,83044,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-11-30
38,How You Like That,BLACKPINK,82785,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-11-30
39,Go Crazy,Chris Brown,81376,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020-11-30
40,Kathang Isip,Ben&Ben,81214,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2020-11-30
41,Di Ka Sayang,Ben&Ben,80677,https://open.spotify.com/track/0V9rj37SqxF06EOV809odq,2020-11-30
42,Ulap,Rob Deniel,78803,https://open.spotify.com/track/0en1kxNAvVQxLpbteRTG7L,2020-11-30
43,Lonely (with benny blanco),Justin Bieber,78031,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-30
44,Nakikinig Ka Ba Sa Akin,Ben&Ben,77631,https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM,2020-11-30
45,Maybe The Night,Ben&Ben,77314,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2020-11-30
46,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,73596,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,2020-11-30
47,Someone You Loved,Lewis Capaldi,72989,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-11-30
48,Levitating (feat. DaBaby),Dua Lipa,72369,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-11-30
49,Sana,I Belong to the Zoo,71648,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2020-11-30
50,Make It With You,Ben&Ben,71554,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-11-30
51,Higa,Arthur Nery,66890,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC,2020-11-30
52,Black Mamba,aespa,66731,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51,2020-11-30
53,Wag Na Lang,MC Einstein,66528,https://open.spotify.com/track/4Qs3DkTFVG1QiOwd0BUa9o,2020-11-30
54,Hindi Tayo Pwede,The Juans,66284,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2020-11-30
55,Blueberry Eyes (feat. SUGA of BTS),MAX,64118,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3,2020-11-30
56,Chinita Girl,Lil Vinceyy,63813,https://open.spotify.com/track/6r7sdXUiKjgEx3I8GQRpSq,2020-11-30
57,Pangga,Matthaios,63716,https://open.spotify.com/track/2YreeV0asmC6tgM4IH2g5F,2020-11-30
58,"10,000 Hours (with Justin Bieber)",Dan + Shay,63680,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-11-30
59,Leaves,Ben&Ben,63659,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2020-11-30
60,you!,LANY,63182,https://open.spotify.com/track/1vg0ZHaTvBwlNxLxyYrEvP,2020-11-30
61,I CAN'T STOP ME - English Version,TWICE,62643,https://open.spotify.com/track/4viLaKGdHwhW8LkZB3mRFC,2020-11-30
62,Watermelon Sugar,Harry Styles,62304,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-11-30
63,Memories,Maroon 5,60649,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-11-30
64,heart won't let me,LANY,59462,https://open.spotify.com/track/2IY537C2ecmUMJ46bYQggp,2020-11-30
65,All I Want for Christmas Is You,Mariah Carey,58010,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-11-30
66,Prisoner (feat. Dua Lipa),Miley Cyrus,57887,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,2020-11-30
67,Skit,BTS,56652,https://open.spotify.com/track/4GVwjLRT7oSsKby7Vy8EHr,2020-11-30
68,Pagtingin,Ben&Ben,56135,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2020-11-30
69,Bet You Wanna (feat. Cardi B),BLACKPINK,55842,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,2020-11-30
70,Your Song,Parokya Ni Edgar,55392,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2020-11-30
71,Say You Won't Let Go,James Arthur,55075,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-11-30
72,Kung 'Di Rin Lang Ikaw,December Avenue,54913,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2020-11-30
73,Mood (feat. iann dior),24kGoldn,54700,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-30
74,Boy With Luv (feat. Halsey),BTS,54584,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2020-11-30
75,Sulyap,Jr Crown,53499,https://open.spotify.com/track/3a22L5P9cix1HFNzjb3SpB,2020-11-30
76,comethru,Jeremy Zucker,53300,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2020-11-30
77,Malibu Nights,LANY,52478,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2020-11-30
78,Fake,Lauv,52386,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW,2020-11-30
79,I Like Me Better,Lauv,51339,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-11-30
80,Intentions (feat. Quavo),Justin Bieber,50951,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-11-30
81,Better,ZAYN,50461,https://open.spotify.com/track/1dLXLETYiZohIZWnse4ypG,2020-11-30
82,Blinding Lights,The Weeknd,49575,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-11-30
83,Santa Tell Me,Ariana Grande,48920,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-11-30
84,2002,Anne-Marie,47098,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2020-11-30
85,Best Part (feat. Daniel Caesar),H.E.R.,46994,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2020-11-30
86,Araw-Araw,Ben&Ben,46691,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm,2020-11-30
87,Future,Red Velvet,45492,https://open.spotify.com/track/2gvlPqqngL3BppFCwLXnVc,2020-11-30
88,Sa Susunod na Habang Buhay,Ben&Ben,45152,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd,2020-11-30
89,Lifetime,Ben&Ben,44555,https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW,2020-11-30
90,Mirrors,Justin Timberlake,44034,https://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV,2020-11-30
91,Given-Taken,ENHYPEN,43990,https://open.spotify.com/track/69WpV0U7OMNFGyq8I63dcC,2020-11-30
92,Wonder,Shawn Mendes,43809,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb,2020-11-30
93,Marikit,Juan Caoile,43461,https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar,2020-11-30
94,Rainbow,South Border,42854,https://open.spotify.com/track/3ueq4reab02CypseErxvwS,2020-11-30
95,If the World Was Ending - feat. Julia Michaels,JP Saxe,42685,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-11-30
96,Circles,Post Malone,42115,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-11-30
97,Sa Ngalan Ng Pag-Ibig,December Avenue,42058,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2020-11-30
98,Let Me In (20 CUBE),ENHYPEN,42051,https://open.spotify.com/track/4eOcd47wPU3ixxYw0spREl,2020-11-30
99,Miloves (Otw Sayo),King Badger,41792,https://open.spotify.com/track/44jJiCwGdnqqCkgqlvCIdp,2020-11-30
100,Sofia,Clairo,41479,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,2020-11-30
101,Passenger Seat,Stephen Speaks,41011,https://open.spotify.com/track/47nJrlVeOWNEI4hppa7ha9,2020-11-30
102,Out of My League,Stephen Speaks,41008,https://open.spotify.com/track/2PkQeKapTNUjwpKLf8aJlq,2020-11-30
103,Psycho,Red Velvet,40676,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-11-30
104,Miracle Nights,ALLMO$T,40424,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB,2020-11-30
105,Araw-Araw Love,Flow G,40048,https://open.spotify.com/track/1x7DysraeqSgVgj95hHc3U,2020-11-30
106,you broke me first,Tate McRae,39237,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020-11-30
107,Last Christmas,Wham!,39108,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-11-30
108,Sa Susunod Na Lang,PDL,38968,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2020-11-30
109,Tadhana,Up Dharma Down,38666,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2020-11-30
110,Flicker,ENHYPEN,38469,https://open.spotify.com/track/3TgPwLFXV6GEIsDZANHktY,2020-11-30
111,10 Months,ENHYPEN,37968,https://open.spotify.com/track/3LcFQsZw01tRvjCNLgSmTv,2020-11-30
112,Just the Way You Are,Bruno Mars,37713,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2020-11-30
113,214,Rivermaya,37603,https://open.spotify.com/track/7gZ3kWNtIxFgxjsm5OTVMB,2020-11-30
114,Breath,GOT7,37417,https://open.spotify.com/track/2tVkFxyePqB0o4Y4SYKV0Q,2020-11-30
115,Mundo,IV Of Spades,37168,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2020-11-30
116,Don't Start Now,Dua Lipa,36917,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-11-30
117,The Day You Said Goodnight,Hale,36914,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3,2020-11-30
