Position,Track Name,Artist,Streams,URL,Date
1,Despacito - Remix,Luis Fonsi,227179,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-06-07
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,200952,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-06-07
3,Shape of You,Ed Sheeran,158115,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-06-07
4,Something Just Like This,The Chainsmokers,141699,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-06-07
5,Attention,Charlie Puth,136504,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-06-07
6,That's What I Like,Bruno Mars,136033,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-06-07
7,Symphony (feat. Zara Larsson),Clean Bandit,132145,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-06-07
8,Strip That Down,Liam Payne,128357,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-06-07
9,Mama,Jonas Blue,121797,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-06-07
10,Stay (with Alessia Cara),Zedd,120922,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-06-07
11,Say You Won't Let Go,James Arthur,118529,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-06-07
12,There for You,Martin Garrix,112895,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-06-07
13,Good Life (with G-Eazy & Kehlani),G-Eazy,108207,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-06-07
14,No Promises (feat. Demi Lovato),Cheat Codes,106049,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-06-07
15,Versace on the Floor,Bruno Mars,103550,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-06-07
16,There's Nothing Holdin' Me Back,Shawn Mendes,102071,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-06-07
17,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,95204,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-06-07
18,Most Girls,Hailee Steinfeld,94529,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-06-07
19,The Cure,Lady Gaga,93825,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh,2017-06-07
20,Dahil Sa'Yo,Inigo Pascual,87543,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-06-07
21,Bad Liar,Selena Gomez,86748,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23,2017-06-07
22,Touch,Little Mix,81452,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-06-07
23,Thunder,Imagine Dragons,81076,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-06-07
24,Crying in the Club,Camila Cabello,80052,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev,2017-06-07
25,It Ain't Me (with Selena Gomez),Kygo,79777,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-06-07
26,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,76888,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-06-07
27,HUMBLE.,Kendrick Lamar,74771,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-06-07
28,Starving,Hailee Steinfeld,72814,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-06-07
29,It's Gotta Be You,Isaiah Firebrace,71852,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-06-07
30,Scared to Be Lonely,Martin Garrix,69955,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-06-07
31,Sila,SUD,69800,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-06-07
32,Now Or Never,Halsey,68985,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8,2017-06-07
33,Slow Hands,Niall Horan,67496,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-06-07
34,Tadhana,Up Dharma Down,67336,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-06-07
35,Fresh Eyes,Andy Grammer,66334,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-06-07
