Position,Track Name,Artist,Streams,URL,Date
1,Lovesick Girls,BLACKPINK,310156,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-10-16
2,Dynamite,BTS,295136,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-16
3,Ice Cream (with Selena Gomez),BLACKPINK,284272,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-10-16
4,At My Worst,Pink Sweat$,216586,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,2020-10-16
5,Bet You Wanna (feat. Cardi B),BLACKPINK,203530,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,2020-10-16
6,Holy (feat. Chance The Rapper),Justin Bieber,201729,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-16
7,Beautiful Scars,Maximillian,189635,https://open.spotify.com/track/4kS01K2URu522IomkGOFHl,2020-10-16
8,Pretty Savage,BLACKPINK,170219,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,2020-10-16
9,How You Like That,BLACKPINK,166847,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-10-16
10,You Got It,Vedo,161198,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-10-16
11,Kabilang Buhay,Bandang Lapis,147654,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-10-16
12,WAP (feat. Megan Thee Stallion),Cardi B,140472,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-16
13,KLWKN,Music Hero,135003,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-10-16
14,Teka Lang,Emman,126985,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-10-16
15,Stuck with U (with Justin Bieber),Ariana Grande,124169,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-10-16
16,Mariposa,Peach Tree Rascals,119145,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-10-16
17,Crazy Over You,BLACKPINK,118549,https://open.spotify.com/track/7qq0EOPW4RRlqdvMBmdd73,2020-10-16
18,if this is the last time,LANY,114192,https://open.spotify.com/track/3bsRMvQja4huvPWo1S5ONc,2020-10-16
19,You Never Know,BLACKPINK,113708,https://open.spotify.com/track/39kzWAiVPpycdMpr745oPj,2020-10-16
20,Mad at Disney,salem ilese,113193,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,2020-10-16
21,Malayo Ka Man,Jr Crown,113134,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo,2020-10-16
