Position,Track Name,Artist,Streams,URL,Date
1,Perfect,Ed Sheeran,220866,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-11-26
2,Havana,Camila Cabello,216571,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-11-26
3,Too Good At Goodbyes,Sam Smith,212925,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2017-11-26
4,Young Dumb & Broke,Khalid,176333,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-11-26
5,What Lovers Do (feat. SZA),Maroon 5,173579,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2017-11-26
6,New Rules,Dua Lipa,161370,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-11-26
7,Wolves,Selena Gomez,138546,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2017-11-26
8,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,135946,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-11-26
9,Super Far,LANY,128157,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2017-11-26
10,I Like Me Better,Lauv,127598,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-11-26
11,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,114568,https://open.spotify.com/track/4aUf4lzQ1di5JajZ4a9FuI,2017-11-26
12,How Long,Charlie Puth,113596,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,2017-11-26
13,Titibo-Tibo,Moira Dela Torre,112512,https://open.spotify.com/track/42nrX5b8ZUYRcw2puNY8tb,2017-11-26
14,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,110040,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,2017-11-26
15,Let You Down,NF,99341,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-26
16,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,97957,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2017-11-26
17,Dusk Till Dawn - Radio Edit,ZAYN,92285,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,2017-11-26
18,"Sundo - From ""The Good Son""",Moira Dela Torre,90271,https://open.spotify.com/track/1WtpRQUvbyZAoEchymInA9,2017-11-26
19,Stargazing,Kygo,88874,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,2017-11-26
20,Dahil Sa'Yo,Inigo Pascual,87950,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-11-26
21,Mama,Jonas Blue,87891,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-11-26
22,I Miss You (feat. Julia Michaels),Clean Bandit,83494,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,2017-11-26
23,New,Daya,81819,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK,2017-11-26
24,Lonely Together (feat. Rita Ora),Avicii,81608,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2017-11-26
25,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,80410,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,2017-11-26
26,Strip That Down,Liam Payne,76795,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-11-26
27,Sorry Not Sorry,Demi Lovato,76493,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P,2017-11-26
28,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,75826,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa,2017-11-26
