Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,263312,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-04
2,Something Just Like This,The Chainsmokers,237880,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-04-04
3,That's What I Like,Bruno Mars,226085,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-04-04
4,Versace on the Floor,Bruno Mars,180005,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-04-04
5,Say You Won't Let Go,James Arthur,174304,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-04-04
6,Stay (with Alessia Cara),Zedd,147435,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-04-04
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,134974,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-04-04
8,"How Far I'll Go - From ""Moana""",Alessia Cara,131374,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-04-04
9,Paris,The Chainsmokers,130523,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-04-04
10,It Ain't Me (with Selena Gomez),Kygo,128780,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-04-04
11,美女と野獣,Ariana Grande,121644,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-04-04
12,Symphony (feat. Zara Larsson),Clean Bandit,111389,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-04-04
13,Starving,Hailee Steinfeld,110359,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-04-04
14,Touch,Little Mix,108946,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-04-04
15,Scared to Be Lonely,Martin Garrix,107092,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-04-04
16,The Scientist,Coldplay,106093,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-04-04
17,Closer,The Chainsmokers,105323,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-04-04
18,Fresh Eyes,Andy Grammer,99660,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-04-04
19,Cold,Maroon 5,94310,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-04-04
20,Sila,SUD,94059,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-04-04
21,Issues,Julia Michaels,93597,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-04-04
22,Call On Me - Ryan Riback Extended Remix,Starley,93356,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-04-04
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,92037,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-04-04
24,Don't Wanna Know,Maroon 5,90623,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-04-04
25,The One,The Chainsmokers,88079,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5,2017-04-04
26,Perfect Strangers,Jonas Blue,85545,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-04-04
27,All We Know,The Chainsmokers,84266,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-04-04
28,24K Magic,Bruno Mars,84253,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-04-04
29,Hanggang Kailan,Michael Pangilinan,80570,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-04-04
30,Perfect,Ed Sheeran,80489,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-04-04
31,Weak,AJR,80406,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-04-04
