Position,Track Name,Artist,Streams,URL,Date
1,At My Worst,Pink Sweat$,259379,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,2020-11-13
2,Paubaya,Moira Dela Torre,229570,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP,2020-11-13
3,Dynamite,BTS,223368,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-11-13
4,positions,Ariana Grande,194463,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-13
5,Holy (feat. Chance The Rapper),Justin Bieber,185859,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-11-13
6,Ice Cream (with Selena Gomez),BLACKPINK,183201,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-11-13
7,I CAN'T STOP ME,TWICE,180955,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,2020-11-13
8,Lovesick Girls,BLACKPINK,172933,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-11-13
9,Beautiful Scars,Maximillian,167655,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE,2020-11-13
10,Kabilang Buhay,Bandang Lapis,149120,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-11-13
11,You Got It,Vedo,139640,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-11-13
12,What You Know Bout Love,Pop Smoke,131471,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-13
13,KLWKN,Music Hero,113608,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-11-13
14,Bet You Wanna (feat. Cardi B),BLACKPINK,110346,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,2020-11-13
15,Teka Lang,Emman,108939,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-11-13
16,Di Ka Sayang,Ben&Ben,108324,https://open.spotify.com/track/0V9rj37SqxF06EOV809odq,2020-11-13
17,Mariposa,Peach Tree Rascals,106986,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-11-13
18,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,105164,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,2020-11-13
19,Stuck with U (with Justin Bieber),Ariana Grande,104679,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-11-13
20,Mad at Disney,salem ilese,103790,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,2020-11-13
21,if this is the last time,LANY,101620,https://open.spotify.com/track/3bsRMvQja4huvPWo1S5ONc,2020-11-13
22,34+35,Ariana Grande,101058,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-13
23,How You Like That,BLACKPINK,98298,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-11-13
24,WAP (feat. Megan Thee Stallion),Cardi B,97310,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-13
