Position,Track Name,Artist,Streams,URL,Date
1,Despacito - Remix,Luis Fonsi,211178,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-08-12
2,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,159666,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa,2017-08-12
3,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,154362,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-08-12
4,Mama,Jonas Blue,143795,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-08-12
5,Strip That Down,Liam Payne,143047,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-08-12
6,Super Far,LANY,139721,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2017-08-12
7,Attention,Charlie Puth,120647,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-08-12
8,I Like Me Better,Lauv,120069,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-08-12
9,There for You,Martin Garrix,117151,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-08-12
10,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,115223,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-08-12
11,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,114698,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,2017-08-12
12,Dahil Sa'Yo,Inigo Pascual,114190,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-08-12
13,2U (feat. Justin Bieber),David Guetta,111283,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-08-12
14,Shape of You,Ed Sheeran,108275,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-08-12
15,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,103037,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-08-12
16,Something Just Like This,The Chainsmokers,101414,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-08-12
17,Sorry Not Sorry,Demi Lovato,99926,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex,2017-08-12
18,Slow Hands,Niall Horan,97770,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-08-12
19,Symphony (feat. Zara Larsson),Clean Bandit,96273,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-08-12
