date,position,track_id,track_name,artist,streams,Filipino
9/16/2020,196,32L3JmBCqHyvM16zyTcGVQ,Sulyap,Jom,26791,filipino
12/15/2017,190,7rrVN7f83kwaz2sGxoFnJY,Christmas in Our Hearts,Jose Mari Chan,18991,filipino
3/24/2020,182,3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,Jr Crown,22447,filipino
5/24/2020,144,0yRXPoZx4gkGUYDqNwEGOM,Marikit,Juan Caoile,24645,filipino
9/28/2018,185,5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,22204,filipino
12/2/2017,186,4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,Kamikazee,19021,filipino
1/14/2018,163,20PUUNHvpjjPh92Q6x0DC4,Cebuana,Karencitta,21645,filipino
7/12/2019,183,39fwy7Q1spclVNFeu64lgd,Walang Gana,King Badger,25904,filipino
12/24/2018,102,21gCZq4O38rQM60BW1TsvF,Tanging Hiling Ngayong Pasko,Kithara,39523,filipino
5/11/2019,153,2kRjoaqiyeS0Faus5wKztH,Ikaw Lang,Kiyo,24855,filipino
4/30/2018,183,2RzdvVrhZdoa3PyrU0NTLp,Nadarang - Campfire Mix,Kyle Juliano,20903,filipino
1/7/2017,167,6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,KZ Tandingan,16002,filipino
12/16/2017,197,6h7bFD49c3lN9uLDxhy2RW,Sana Ngayong Pasko,Lea Salonga,18159,filipino
12/24/2017,101,0EkPuwTCZxRPpOHT4AvGgE,"Thank You, Ang Babait Ninyo",Lyca Gairanod,37254,filipino
9/15/2019,189,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,24172,filipino
8/5/2018,184,2Gh039ZAfydrM5IjiGlvEj,Akala,Marion Aunor,21430,filipino
1/1/2017,98,6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,18928,filipino
6/20/2017,199,7IqUmDJ2GjaOqrzDCXhrV5,Ipagpatawad Mo,Mayonnaise,17498,filipino
10/11/2019,200,2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,Michael Dutchi Libranda,25500,filipino
1/1/2017,66,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,26852,filipino
1/1/2017,50,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,39075,filipino
1/1/2017,78,7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,22840,filipino
1/2/2017,197,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,13094,filipino
5/24/2020,173,1pi3VCMlGVaXvrjlVOkBPN,KLWKN,Music Hero,22713,filipino
10/19/2019,189,0BaMZMMEG7GWrUYsoGw8Yg,Neneng B,Nik Makino,25008,filipino
8/11/2018,200,2PTQBDNpLnjix9Dsa33d8l,Tuloy Pa Rin,Nyoy Volante,19939,filipino
1/9/2018,194,5UhpceEr5XmbVwyoIUIRnh,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,21016,filipino
