track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
4q87NbtlqbiGK7qcLDMXj5,No Games (feat. Skusta Clee),2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,1f7QMJxxEORZAArm9IZS8X,329432,2017-08-19,0,0.694,0.52,5,0.650603889457523,0,0.0794,0.209,0.0,0.204,0.416,0.2998437742085421,6,rnb,0.375,0.0,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.375,0.08333333333333333
48XfojJC87VKLlUotYV0Gm,The Truth Untold,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2jJfnAZE6IG3oYnUv2eCj4,242292,2018-05-18,71,0.57,0.422,1,0.6832753326509723,0,0.0422,0.372,0.0,0.127,0.169,0.3901448639157155,4,pop,0.375,0.0,0.08333333333333333,0.041666666666666664,0.25,0.375,0.0,0.125,0.125
5DttNeiizFqWUON9hZBqTY,Babylon,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,05c49JgPmL4Uz2ZeqRx5SP,161733,2020-05-29,71,0.698,0.799,2,0.8138382804503581,1,0.0342,0.0129,5.46e-06,0.215,0.351,0.4091889170066621,2,electronic,0.375,0.0,0.25,0.375,0.0,0.2916666666666667,0.0,0.041666666666666664,0.041666666666666664
33IOhptvC2Qoy2UhjiHXLV,Flames,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,3B8J3BMp7lMA5YR5bUXHGK,195000,2018-03-22,73,0.609,0.726,5,0.8149027635619241,0,0.0414,0.0723,8.45e-06,0.0895,0.362,0.2671719258379383,1,country,0.375,0.0,0.375,0.041666666666666664,0.0,0.3333333333333333,0.041666666666666664,0.125,0.08333333333333333
5CDq3Ekm0E0c23S0mbEELV,Here I Am Again,6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,476k6ufG2tovEGKDHolLSB,234840,2020-01-12,66,0.451,0.465,9,0.8088843398157624,1,0.0286,0.831,0.0,0.107,0.204,0.5104580901719775,4,pop,0.375,0.0,0.125,0.0,0.16666666666666666,0.375,0.0,0.16666666666666666,0.16666666666666666
7wvYmO5QscgIDDT0eNwbYX,Lost In Japan,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,5fO4XvsuL6yeWquLaWXZOK,200133,2018-03-23,0,0.726,0.708,7,0.7100102354145341,0,0.356,0.303,0.0,0.348,0.417,0.3389970562412849,3,jazz,0.375,0.0,0.0,0.041666666666666664,0.375,0.20833333333333334,0.3333333333333333,0.041666666666666664,0.0
1trFxVLL8WKhYap543e74l,Airplane pt.2,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2jJfnAZE6IG3oYnUv2eCj4,218614,2018-05-18,67,0.769,0.817,0,0.8253019447287614,0,0.0339,0.0268,9.95e-05,0.084,0.866,0.5642656096679235,7,rock,0.375,0.0,0.16666666666666666,0.16666666666666666,0.0,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375
6G7DuXoSGeAf6BZivJdEjF,달라달라 DALLA DALLA,2KC9Qb60EaY0kW4eH68vr3,ITZY,2gHd5bCrj42s8nwwXBALd4,199873,2019-02-13,62,0.79,0.853,11,0.8059774820880244,0,0.0665,0.00116,4.23e-05,0.329,0.713,0.4675540980220007,2,electronic,0.375,0.0,0.08333333333333333,0.375,0.0,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.16666666666666666
0yYwS7CXKIPC4kWPvZQfsT,No Way!,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,4ZKdRW0AH9sxV09NmWsTkW,112105,2019-08-09,61,0.665,0.709,1,0.8242784032753325,0,0.0407,0.174,0.0,0.142,0.357,0.15161648504880443,1,country,0.375,0.0,0.375,0.041666666666666664,0.0,0.25,0.08333333333333333,0.20833333333333334,0.041666666666666664
6tvQzeCPwOytDlBYCIOY0n,Breathe,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,6m8i2mJRlqvarXe9Vi1MzS,207629,2017-12-01,2,0.722,0.744,11,0.7668372569089047,0,0.0363,0.0234,0.000157,0.143,0.686,0.4739257862934462,7,rock,0.375,0.0,0.041666666666666664,0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,0.375
1L3NV7VrCiuE8C5QlhdeQL,Filthy,31TPClRtHm23RisEBtV3X7,Justin Timberlake,730MjVEfvrWeEloF42B5U1,293946,2018-01-05,50,0.745,0.579,1,0.7565609007164789,1,0.138,0.0354,0.0118,0.246,0.645,0.2868228063833083,6,rnb,0.375,0.0,0.125,0.0,0.08333333333333333,0.25,0.08333333333333333,0.375,0.08333333333333333
0gD6lWJhbXHWNVwQziSVvl,Plug Walk,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,0GqyPabtBnNbl73Vivcatv,175510,2018-02-08,0,0.882,0.503,11,0.721883316274309,1,0.179,0.224,0.0,0.108,0.176,0.27396968444972364,5,rap,0.375,0.0,0.0,0.125,0.16666666666666666,0.08333333333333333,0.375,0.25,0.0
1gm616Plq4ScqNi7TVkZ5N,Call Out My Name,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,3iVFKUpkS32p2YcLMA02u6,228373,2018-03-29,1,0.489,0.598,1,0.7910337768679631,1,0.036,0.218,0.0,0.35,0.172,0.5259580127046428,7,rock,0.375,0.0,0.041666666666666664,0.125,0.0,0.25,0.041666666666666664,0.16666666666666666,0.375
