track_id,track_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability,artist_id,artist_name
1MkiRsYBkXbXvdiYvTTiQT,Someday,1yx0lKqG8Z1J3IOxx4gbzs,214773,2006-08-23,67,0.556,0.212,6,-11.197,1,0.0406,0.941,0.0,0.0982,0.514,133.392,3,0.9894334673881532,Acoustic,98.94334673881531%,2tQbSWgZLIB8MXMnsXVRro,Nina
1MkiRsYBkXbXvdiYvTTiQT,Someday,1yx0lKqG8Z1J3IOxx4gbzs,214773,2006-08-23,67,0.556,0.212,6,-11.197,1,0.0406,0.941,0.0,0.0982,0.514,133.392,3,0.9894334673881532,Acoustic,98.94334673881531%,2tQbSWgZLIB8MXMnsXVRro,Nina
0mUfY2PdHs57EG15zj1dRj,Laro,6192rIsjm6EaV6OclNLHoK,320573,2016-09-30,0,0.569,0.823,0,-2.785,1,0.0271,0.00193,0.00703,0.215,0.623,139.988,5,0.9888949394226074,Rock,98.88949394226074%,3Hvxz2oZPYuo61ChHKcqQI,Autotelic
6xQs6y6CpDqK9VKCktApEL,Hiling,6E5TwOXhw6KyhX4P0p9vdK,235009,2015-01-15,63,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,3,0.9882296323776244,Acoustic,98.82296323776245%,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio
6xQs6y6CpDqK9VKCktApEL,Hiling,6E5TwOXhw6KyhX4P0p9vdK,235009,2015-01-15,63,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,3,0.9882296323776244,Acoustic,98.82296323776245%,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio
6xQs6y6CpDqK9VKCktApEL,Hiling,6E5TwOXhw6KyhX4P0p9vdK,235009,2015-01-15,63,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,3,0.9882296323776244,Acoustic,98.82296323776245%,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio
1bBDyj7kZdMOAMX3czsWFg,Tagpuan - Duet Version,74a7YyH2hgbQYyLHJVSak1,275485,2019-06-21,52,0.477,0.202,8,-9.764,1,0.0314,0.788,0.00052,0.0861,0.272,131.358,3,0.986068606376648,Acoustic,98.6068606376648%,"['0rZRTXEmmPmx6gt92tBqIc', '4eK6vQqh6wpgldKVWm7560']","['Moira Dela Torre', 'Jason Marvin']"
1bBDyj7kZdMOAMX3czsWFg,Tagpuan - Duet Version,74a7YyH2hgbQYyLHJVSak1,275485,2019-06-21,52,0.477,0.202,8,-9.764,1,0.0314,0.788,0.00052,0.0861,0.272,131.358,3,0.986068606376648,Acoustic,98.6068606376648%,"['0rZRTXEmmPmx6gt92tBqIc', '4eK6vQqh6wpgldKVWm7560']","['Moira Dela Torre', 'Jason Marvin']"
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,63,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,3,0.9786407351493835,Acoustic,97.86407351493835%,6Ww3OMFzCaO33ulKh1LBFN,Hale
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,63,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,3,0.9786407351493835,Acoustic,97.86407351493835%,6Ww3OMFzCaO33ulKh1LBFN,Hale
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,63,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,3,0.9786407351493835,Acoustic,97.86407351493835%,6Ww3OMFzCaO33ulKh1LBFN,Hale
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,63,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,3,0.9786407351493835,Acoustic,97.86407351493835%,6Ww3OMFzCaO33ulKh1LBFN,Hale
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,63,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,3,0.9786407351493835,Acoustic,97.86407351493835%,6Ww3OMFzCaO33ulKh1LBFN,Hale
1xixJwhW5UOOnXpN7GNsPg,Kunwari,2fdzLVIFgBgRbZ5s3wd6mV,214046,2017-11-15,43,0.642,0.845,3,-5.144,1,0.0261,0.0778,0.0,0.255,0.837,120.008,5,0.9778849482536316,Rock,97.78849482536316%,1tXFYQZSAswt4JLB42lpye,Sponge Cola
0airDlKC7gQNcooMHyIydT,Fly You to the Moon,5GHJ6bygyiZAtYFjYgIUjd,172408,2019-06-30,64,0.419,0.207,1,-12.746,0,0.127,0.94,3.32e-05,0.352,0.532,80.154,3,0.977246642112732,Acoustic,97.7246642112732%,1juIpte4oHJ5ngVLPTUPuJ,Justin Vasquez
0airDlKC7gQNcooMHyIydT,Fly You to the Moon,5GHJ6bygyiZAtYFjYgIUjd,172408,2019-06-30,64,0.419,0.207,1,-12.746,0,0.127,0.94,3.32e-05,0.352,0.532,80.154,3,0.977246642112732,Acoustic,97.7246642112732%,1juIpte4oHJ5ngVLPTUPuJ,Justin Vasquez
0V9rj37SqxF06EOV809odq,Di Ka Sayang,272Ej3MRWKl2sMQ284qyxr,254000,2020-11-06,72,0.544,0.781,8,-4.86,1,0.0352,0.00781,8.38e-05,0.132,0.422,124.869,5,0.9755292534828186,Rock,97.55292534828186%,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben
