Feature,Importance
instrumentalness,0.25
danceability,0.17000000178813934
acousticness,0.12999999523162842
energy,0.11999999731779099
speechiness,0.09000000357627869
loudness,0.07000000029802322
mode,0.05999999865889549
tempo,0.05000000074505806
valence,0.03999999910593033
key,0.029999999329447746
