track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
3CGZ7wfk4skmuyQgua1C1K,Chromatica I,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,05c49JgPmL4Uz2ZeqRx5SP,60400,2020-05-29,68,0.231,0.457,6,-10.773,0,0.0318,0.0126,0.875,0.327,0.0588,65.827,1,0.9996427297592163,Classical,99.96427297592163%
0oQc0F6KUE7QY7k5TU6bic,Chromatica II,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,05c49JgPmL4Uz2ZeqRx5SP,41866,2020-05-29,71,0.184,0.297,2,-14.534,1,0.0359,0.473,0.893,0.527,0.113,75.824,1,0.9995651841163635,Classical,99.95651841163635%
468iB1VWvEy9ln8M9zdde6,Tayo Na Lang Dalawa,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,4V1wdlWzWsSPbgXrgipsPS,185066,2014-04-20,56,0.52,0.969,1,-3.612,1,0.0331,4.47e-05,0.00232,0.157,0.63,97.598,5,0.9994986057281494,Rock,99.94986057281494%
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,0FZK97MXMm5mUQ8mtudjuK,311106,2006-10-23,77,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,5,0.999403715133667,Rock,99.9403715133667%
43ay9lQZ5rfNcOOHhRF2cM,The Greatest Show,5F1aoppMtU3OMiltO8ymJ2,Hugh Jackman,09w7mJRYa15Uk7rtM26QfZ,302146,2017-10-27,61,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,5,0.998954176902771,Rock,99.8954176902771%
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,1VW1MFNstaJuygaoTPkdCk,258773,1995-10-02,78,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,5,0.9984967708587646,Rock,99.84967708587646%
0YwBZKT8JE4U5TwmYE9BV9,Radio Ga Ga - Live Aid,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,245680,2018-10-19,68,0.406,0.934,5,-6.668,1,0.0845,0.0138,0.0,0.955,0.395,118.823,5,0.9984779953956604,Rock,99.84779953956604%
4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,40JlNF1w2OiSOyj1nC4y0I,Joseph Vincent,6OwbMChcQwexcBWiZeHzpR,200259,2018-02-06,63,0.786,0.123,6,-12.659,0,0.0391,0.863,0.0,0.103,0.316,122.936,3,0.9975942969322205,Acoustic,99.75942969322205%
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),540vIaP2JwjQb9dm3aArA4,DJ Snake,2MFS6WG6jnPAgvJpV3PehR,185194,2019-07-25,81,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,2,0.9957719445228577,Reggae,99.57719445228577%
4mYu3kfBCW6qiTDnfVeuMx,항상 (HANGSANG),0b1sIQumIAsNbqAoIClSpy,j-hope,1bJ8O4jIyqSdunqT9RWXc9,229675,2018-03-02,60,0.832,0.896,6,-4.673,1,0.233,0.159,4.75e-05,0.247,0.618,178.998,2,0.9955949187278748,Reggae,99.55949187278748%
6NfrH0ANGmgBXyxgV2PeXt,La Difícil,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,163084,2020-02-28,83,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,2,0.9954877495765686,Reggae,99.54877495765686%
29xs643Q96uQLD8f7SxYYw,Sa'yo,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,253360,2013-06-11,61,0.567,0.0896,5,-12.944,1,0.0343,0.796,0.0,0.218,0.367,79.002,3,0.9953963160514832,Acoustic,99.53963160514832%
